nn,accuracy,precision,recall,f1,auc
3,0.7779351456773159,[0.93669523 0.677348   0.83337484],[0.95433289 0.65389598 0.72557657],[0.94540476 0.66506592 0.77373916],[0.90474519 0.86461276 0.9008683 ]
5,0.7541740994604996,[0.92735895 0.67978263 0.84131897],[0.95907582 0.61835224 0.68509424],[0.94290956 0.64678689 0.75271275],[0.92322016 0.88882675 0.92118999]
10,0.7265637359467882,[0.92211318 0.6727594  0.82406174],[0.96298841 0.6028197  0.6138831 ],[0.94208978 0.63566168 0.70137669],[0.94308846 0.91275662 0.94308849]
20,0.6898542718384194,[0.90880956 0.67020622 0.85131031],[0.96734947 0.56805483 0.53415851],[0.93714822 0.61361465 0.65330886],[0.94889302 0.92421663 0.95249716]
