nn,accuracy,precision,recall,f1,auc
3,0.8067154650982769,[0.94109457 0.74969949 0.89357127],[0.97239557 0.66945089 0.77829994],[0.95640472 0.70640609 0.83059618],[0.94305116 0.90096333 0.94386616]
5,0.7795762181099906,[0.93197109 0.73589511 0.906356  ],[0.97445722 0.6325494  0.73172204],[0.95256732 0.67595207 0.80552852],[0.95759593 0.93163848 0.95571604]
10,0.7685211522009807,[0.92864483 0.74157041 0.89863345],[0.97580852 0.63873498 0.69101996],[0.95143613 0.68164448 0.77663953],[0.96728818 0.94054226 0.97551511]
20,0.7395401109955557,[0.91151433 0.73449391 0.91468127],[0.97701673 0.55037149 0.69123211],[0.94288411 0.62413953 0.78108652],[0.96358637 0.93502959 0.97796504]
