nn,accuracy,precision,recall,f1,auc
3,0.8114187451555186,[0.94806097 0.69312456 0.85719261],[0.95563701 0.69602968 0.78258955],[0.9518202  0.69415374 0.81627933],[0.92782574 0.8878262  0.93529202]
5,0.7976812128947939,[0.94144225 0.70433892 0.86213465],[0.95999641 0.67059077 0.76245646],[0.95061113 0.68635073 0.80801653],[0.94549178 0.91506859 0.94518589]
10,0.7788144142848697,[0.9332057  0.7111925  0.89709344],[0.96518617 0.65355416 0.71770291],[0.94890581 0.68048523 0.79580248],[0.9579336  0.93267398 0.96339434]
20,0.741568700549788,[0.92020527 0.68546277 0.92992968],[0.9668737  0.60940733 0.64842508],[0.94292377 0.64432552 0.76231791],[0.96262723 0.93861238 0.96979178]
