c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.77839196 0.         0.        ],[1. 0. 0.],[0.87502876 0.         0.        ],0.0
1,0.6343626147846614,[0.8775709  0.66274396 0.83051476],[0.99048985 0.27860071 0.63399729],[0.93028676 0.3845151  0.70623174],0.0
10,0.7338895668076584,[0.92120685 0.65934622 0.86808877],[0.9651715  0.58025262 0.65624457],[0.94236279 0.6104456  0.74114524],0.0
100,0.7178611769471204,[0.94407443 0.54053777 0.77184385],[0.92739037 0.61316272 0.61303044],[0.93340586 0.53498672 0.63813045],0.0
