c,accuracy,precision,recall,f1,auc
0.1,0.3471375291429354,[0.78636843 0.         0.9       ],[1.         0.         0.04141259],[0.8803506  0.         0.07787288],0.0
1,0.6540636170068234,[0.89249441 0.6636715  0.81287005],[0.98168411 0.37113955 0.60936719],[0.9348977  0.46558878 0.69119834],0.0
10,0.7399709496925435,[0.92910718 0.65096226 0.8679834 ],[0.96054032 0.62572407 0.63364847],[0.94450211 0.63653151 0.73045325],0.0
100,0.6610289687098059,[0.90631935 0.64240975 0.72515123],[0.96584866 0.362774   0.65446425],[0.93412909 0.38738124 0.652988  ],0.0
1000,0.6987857387321312,[0.94172224 0.57891867 0.73408421],[0.92045925 0.5513878  0.62451016],[0.92767239 0.47836647 0.62012841],0.0
