c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
10,0.3534409387017511,[0.78939969 0.         1.        ],[1.         0.         0.06032282],[0.88224833 0.         0.11089633],0.0
100,0.6618744678566211,[0.89579628 0.66805754 0.81271026],[0.98026401 0.39229235 0.61306704],[0.9360517  0.48349201 0.69334036],0.0
1000,0.7405527154797406,[0.92847804 0.65903669 0.8670367 ],[0.96189962 0.62076166 0.63899687],[0.94481928 0.63696185 0.73350724],0.0
