c,accuracy,precision,recall,f1,auc
0.1,0.588824614143961,[0.86571325 0.60800575 0.88092048],[0.9929551  0.22511576 0.54840298],[0.92488651 0.31590529 0.67323788],0.0
1,0.7122359331086443,[0.92060966 0.65506195 0.85261198],[0.96837833 0.57043006 0.59789941],[0.94376467 0.60466479 0.69983524],0.0
10,0.7258311651436865,[0.94665048 0.5612653  0.72748883],[0.90511226 0.62713869 0.64524255],[0.9223146  0.52908044 0.64918737],0.0
100,0.6467248713210038,[0.91773541 0.50926122 0.62154281],[0.94267739 0.32259783 0.67489939],[0.92662319 0.30360308 0.59187705],0.0
1000,0.6783857673242359,[0.92670725 0.47137242 0.73790185],[0.92097004 0.49477974 0.61940752],[0.91885415 0.40212305 0.62991299],0.0
