c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
1,0.3534409387017511,[0.78928611 0.         1.        ],[1.         0.         0.06032282],[0.88217954 0.         0.11089633],0.0
10,0.6615539550361083,[0.89565434 0.66741743 0.81271026],[0.98026401 0.39133081 0.61306704],[0.9359729  0.48236326 0.69334036],0.0
100,0.7409152343694123,[0.92988034 0.65278791 0.85677127],[0.95960949 0.62791759 0.63521862],[0.94443779 0.6374861  0.72713948],0.0
1000,0.7293355680147264,[0.94062425 0.59288184 0.774508  ],[0.92828383 0.65453894 0.60518394],[0.93218394 0.55291967 0.65369431],0.0
