c,accuracy,precision,recall,f1,auc
0.1,0.33746867167919803,[0.77918634 0.         0.2       ],[1.         0.         0.01240602],[0.87552547 0.         0.02333333],0.0
1,0.6460216349275262,[0.88321641 0.66573152 0.81943723],[0.9872719  0.31679571 0.63399729],[0.93206172 0.42162773 0.7015531 ],0.0
10,0.7463476379180949,[0.92446042 0.65645183 0.87874237],[0.96324807 0.59300515 0.6827897 ],[0.9431864  0.61655562 0.76339607],0.0
100,0.7080403830498403,[0.94314182 0.60807626 0.74203463],[0.93516174 0.57638443 0.61257498],[0.93709964 0.52808409 0.61153034],0.0
1000,0.7092616446943623,[0.9357926  0.68786272 0.67050588],[0.92781134 0.47707635 0.72289725],[0.92833931 0.44384539 0.63674698],0.0
