c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.77839196 0.         0.        ],[1. 0. 0.],[0.87502876 0.         0.        ],0.0
1,0.3455883297988561,[0.7811611 0.        0.4      ],[1.         0.         0.03676499],[0.87676792 0.         0.06667702],0.0
10,0.6595093844169443,[0.88781813 0.68227914 0.82476997],[0.9872719  0.34456666 0.6466896 ],[0.9346172  0.45146252 0.71386678],0.0
100,0.7435077309115212,[0.92381837 0.65136884 0.87255189],[0.96259872 0.58513478 0.6827897 ],[0.94255384 0.61010795 0.7601941 ],0.0
1000,0.7094052148339348,[0.92543904 0.62273187 0.84801204],[0.95654083 0.54794309 0.62373172],[0.9392314  0.51997259 0.68863488],0.0
