c,accuracy,precision,recall,f1,auc
0.1,0.5672355697399245,[0.85674142 0.59746158 0.90813944],[0.99523271 0.18091015 0.52556385],[0.92072027 0.26380675 0.66286733],0.0
1,0.6995899476602949,[0.91563966 0.65349739 0.8472118 ],[0.9699447  0.54212945 0.5866957 ],[0.94189968 0.58655496 0.69035456],0.0
10,0.7028092818969215,[0.93987024 0.42197034 0.61061004],[0.92178598 0.45700063 0.72964124],[0.9283245  0.38487606 0.61972531],0.0
100,0.6822051873402086,[0.93188039 0.46854003 0.62350332],[0.92779505 0.44576265 0.67305786],[0.92658758 0.40791328 0.59946843],0.0
