c,accuracy,precision,recall,f1,auc
0.1,0.5556494075292449,[0.84605604 0.5447619  0.9540404 ],[0.99874878 0.14314551 0.52505394],[0.91561697 0.21607478 0.67167111],0.0
1,0.7072210797489974,[0.91263686 0.65017262 0.85189352],[0.97106717 0.52770989 0.62288618],[0.94061507 0.5762438  0.70983608],0.0
10,0.6816161877683444,[0.92197568 0.47071697 0.69613302],[0.94582664 0.34725597 0.75176595],[0.93185112 0.37019609 0.64836158],0.0
100,0.6834805902030785,[0.92533994 0.37836679 0.75144208],[0.9242145  0.51979023 0.60643704],[0.9197178  0.40929277 0.61567701],0.0
