c,accuracy,precision,recall,f1,auc
0.1,0.5805098610768507,[0.85802774 0.59247114 0.92138889],[0.99810362 0.18275695 0.56066902],[0.92241551 0.268756   0.68599252],0.0
1,0.7243252224391539,[0.91998069 0.67116077 0.85806777],[0.9716387  0.57345079 0.62788618],[0.94477642 0.61155264 0.71705845],0.0
10,0.6815143304542672,[0.92941831 0.47190499 0.67822632],[0.93845302 0.38372027 0.72236971],[0.93144605 0.36236597 0.612506  ],0.0
100,0.7020298529425988,[0.93438875 0.52178061 0.83932329],[0.92859882 0.63210416 0.54538658],[0.92814699 0.54288917 0.61085016],0.0
1000,0.6744802927483466,[0.92255663 0.47472059 0.64943134],[0.92567095 0.37725678 0.72051315],[0.91995774 0.35548512 0.59766919],0.0
