c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
1,0.6331916515016476,[0.88289398 0.64933405 0.81698439],[0.98593584 0.30466154 0.60897758],[0.93153719 0.40822131 0.69299388],0.0
10,0.7307009091820595,[0.92626545 0.64200058 0.86458903],[0.96050773 0.60959508 0.62199992],[0.94298356 0.62271397 0.72150676],0.0
100,0.6883209448739582,[0.91671242 0.66965592 0.85004428],[0.96439975 0.50865971 0.59190337],[0.93937051 0.54404712 0.66557471],0.0
