c,accuracy,precision,recall,f1,auc
0.1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
1,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
10,0.33333333333333337,[0.78217786 0.         0.        ],[1. 0. 0.],[0.87772268 0.         0.        ],0.0
100,0.3534409387017511,[0.78939969 0.         1.        ],[1.         0.         0.06032282],[0.88224833 0.         0.11089633],0.0
1000,0.6624860886517281,[0.89607618 0.66912802 0.81271026],[0.98026401 0.39412722 0.61306704],[0.93620697 0.48531359 0.69334036],0.0
