alpha,epochs,accuracy,precision,recall,f1,auc
0.08,1600,0.5380650716640015,[0.85829702 0.55173415 1.        ],[0.98854014 0.30844332 0.31721176],[0.91844374 0.38676228 0.47934413],[0.94333044 0.89904353 0.96228507]
0.1,1400,0.5526403595877467,[0.86408092 0.55994111 0.98333333],[0.98854014 0.32464412 0.34473682],[0.92177091 0.40350248 0.50718765],[0.944471   0.90141694 0.96425123]
0.15,1000,0.55839475453569,[0.86592376 0.56470236 0.98333333],[0.98789498 0.33421913 0.35307015],[0.92255581 0.41236083 0.51718765],[0.94599759 0.9032642  0.96593444]
0.18,600,0.5009253698352331,[0.84753425 0.52345067 1.        ],[0.98917305 0.27330996 0.2402931 ],[0.91244102 0.35048756 0.37902501],[0.93948051 0.89455613 0.95824969]
